epoch,validity,latitude,longitude,Heading,#SVs,Speed (MPH),epoch2,lat_dec,long_dec
1685299353958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:33.958,XX,XX
1685299354958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:34.958,XX,XX
1685299355958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:35.958,XX,XX
1685299356958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:36.958,XX,XX
1685299357958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:37.958,XX,XX
1685299358959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:38.959,XX,XX
1685299359958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:39.958,XX,XX
1685299360959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:40.959,XX,XX
1685299361959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:41.959,XX,XX
1685299362958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:42.958,XX,XX
1685299363958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:43.958,XX,XX
1685299364958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:44.958,XX,XX
1685299365958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:45.958,XX,XX
1685299366958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:46.958,XX,XX
1685299367958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:47.958,XX,XX
1685299368958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:48.958,XX,XX
1685299369958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:49.958,XX,XX
1685299370958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:50.958,XX,XX
1685299371958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:51.958,XX,XX
1685299372958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:52.958,XX,XX
1685299373958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:53.958,XX,XX
1685299374958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:54.958,XX,XX
1685299375959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:55.959,XX,XX
1685299376958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:56.958,XX,XX
1685299377958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:57.958,XX,XX
1685299378958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:58.958,XX,XX
1685299379958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:42:59.958,XX,XX
1685299380958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:00.958,XX,XX
1685299381958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:01.958,XX,XX
1685299382958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:02.958,XX,XX
1685299383958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:03.958,XX,XX
1685299384958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:04.958,XX,XX
1685299385958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:05.958,XX,XX
1685299386958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:06.958,XX,XX
1685299387958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:07.958,XX,XX
1685299388958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:08.958,XX,XX
1685299389958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:09.958,XX,XX
1685299390959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:10.959,XX,XX
1685299391958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:11.958,XX,XX
1685299392958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:12.958,XX,XX
1685299393958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:13.958,XX,XX
1685299394958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:14.958,XX,XX
1685299395958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:15.958,XX,XX
1685299396958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:16.958,XX,XX
1685299397958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:17.958,XX,XX
1685299398958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:18.958,XX,XX
1685299399958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:19.958,XX,XX
1685299400958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:20.958,XX,XX
1685299401958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:21.958,XX,XX
1685299402958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:22.958,XX,XX
1685299403958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:23.958,XX,XX
1685299404958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:24.958,XX,XX
1685299405959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:25.959,XX,XX
1685299406958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:26.958,XX,XX
1685299407958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:27.958,XX,XX
1685299408958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:28.958,XX,XX
1685299409958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:29.958,XX,XX
1685299410958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:30.958,XX,XX
1685299411958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:31.958,XX,XX
1685299412958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:32.958,XX,XX
1685299413958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:33.958,XX,XX
1685299414958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:34.958,XX,XX
1685299415958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:35.958,XX,XX
1685299416958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:36.958,XX,XX
1685299417958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:37.958,XX,XX
1685299418958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:38.958,XX,XX
1685299419958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:39.958,XX,XX
1685299420959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:40.959,XX,XX
1685299421958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:41.958,XX,XX
1685299422958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:42.958,XX,XX
1685299423958,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:43.958,XX,XX
1685299424959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:44.959,XX,XX
1685299425959,V,0.0,0.0,0.0,0,0.0,2023-05-28 18:43:45.959,XX,XX
