Speed,Start,Duration,Heading,#SVs
62,0,1,90,
62,1,1,90,9
62,2,1,90,
61,3,1,90,
61,4,1,90,9
61,5,1,90,
61,6,1,90,
60,7,1,90,9
60,8,1,90,
60,9,1,90,
59,10,1,90,9
59,11,1,90,
59,12,1,90,
59,13,1,90,9
59,14,1,90,
58,15,1,90,
58,16,1,90,9
58,17,1,90,
59,18,1,90,
59,19,1,90,9
58,20,1,90,
58,21,1,90,
58,22,1,90,9
57,23,1,90,
57,24,1,90,
56,25,1,90,9
54,26,1,90,
52,27,1,90,
51,28,1,91,9
50,29,1,90,
49,30,1,90,
48,31,1,90,9
46,32,1,90,
45,33,1,90,
44,34,1,90,9
43,35,1,90,
41,36,1,90,
39,37,1,90,9
37,38,1,90,
35,39,1,90,
32,40,1,90,9
29,41,1,91,
25,42,1,90,
22,43,1,89,9
18,44,1,89,
17,45,1,89,
17,46,1,90,9
20,47,1,90,
21,48,1,90,
22,49,1,90,9
24,50,1,90,
25,51,1,89,
27,52,1,90,9
29,53,1,89,
30,54,1,87,
32,55,1,86,9
35,56,1,88,
37,57,1,90,
40,58,1,90,9
41,59,1,90,
43,60,1,90,
44,61,1,90,9
44,62,1,90,
46,63,1,90,
47,64,1,90,9
49,65,1,90,
49,66,1,90,
50,67,1,90,9
52,68,1,89,
52,69,1,89,
53,70,1,89,9
54,71,1,89,
55,72,1,88,
55,73,1,89,9
56,74,1,89,
56,75,1,89,
57,76,1,89,9
57,77,1,89,
57,78,1,89,
56,79,1,89,9
56,80,1,90,
56,81,1,90,
56,82,1,90,9
56,83,1,90,
56,84,1,90,
55,85,1,90,10
56,86,1,90,
56,87,1,90,
55,88,1,90,10
56,89,1,90,
56,90,1,90,
56,91,1,90,10
56,92,1,90,
55,93,1,90,
56,94,1,90,10
55,95,1,90,
55,96,1,90,
55,97,1,90,10
55,98,1,90,
54,99,1,90,
54,100,1,90,10
53,101,1,90,
53,102,1,90,
51,103,1,90,10
52,104,1,90,
52,105,1,90,
51,106,1,90,10
50,107,1,90,
50,108,1,90,
50,109,1,90,10
50,110,1,90,
49,111,1,90,
49,112,1,90,10
49,113,1,90,
49,114,1,91,
49,115,1,91,10
49,116,1,90,
49,117,1,90,
49,118,1,90,10
49,119,1,90,
49,120,1,90,
49,121,1,90,10
50,122,1,91,
51,123,1,91,
53,124,1,92,10
55,125,1,93,
58,126,1,91,
60,127,1,91,10
60,128,1,90,
60,129,1,90,
60,130,1,90,10
61,131,1,90,
61,132,1,90,
61,133,1,89,10
61,134,1,89,
62,135,1,89,
63,136,1,89,10
63,137,1,89,
63,138,1,89,
63,139,1,90,10
64,140,1,90,
64,141,1,90,
65,142,1,90,10
65,143,1,90,
65,144,1,90,
66,145,1,90,10
66,146,1,90,
66,147,1,90,
65,148,1,90,10
64,149,1,90,
64,150,1,90,
64,151,1,90,10
64,152,1,90,
64,153,1,90,
65,154,1,90,10
65,155,1,90,
65,156,1,90,
66,157,1,90,10
65,158,1,90,
66,159,1,90,
66,160,1,90,10
66,161,1,90,
66,162,1,90,
66,163,1,90,10
66,164,1,90,
66,165,1,90,
67,166,1,90,10
66,167,1,90,
66,168,1,90,
66,169,1,90,10
65,170,1,90,
65,171,1,90,
64,172,1,90,10
63,173,1,90,
63,174,1,90,
63,175,1,90,10
63,176,1,90,
63,177,1,90,
63,178,1,90,10
64,179,1,90,
64,180,1,90,
