Start,Duration,Heading,#SVs,Speed
0,1,3.6,10,71.2
1,1,3.6,,71.9
2,1,3.6,,72.1
3,1,3.9,10,72.7
4,1,3.7,,72.7
5,1,3.7,,72.6
6,1,3.8,10,73
7,1,3.6,,73.3
8,1,3.7,,73.9
9,1,4.1,10,73.8
10,1,3.8,,73.7
11,1,3.7,,73.9
12,1,3.7,10,73.9
13,1,3.6,,74.5
14,1,3.7,,74
15,1,3.3,10,72.4
16,1,3.5,,73.1
17,1,3.3,,72.9
18,1,3.6,10,73.3
19,1,3.4,,73.2
20,1,3,,72.6
21,1,3.2,10,72.2
22,1,3.2,,73.4
23,1,3.3,,72.2
24,1,3.9,10,71.2
25,1,3.7,,71.4
26,1,3.9,,71.6
27,1,3.8,10,71.8
28,1,3.5,,70.6
29,1,3.8,,70.4
30,1,4,10,70.7
31,1,3.8,,70.7
32,1,3.7,,71
33,1,3.7,10,71.1
34,1,3.6,,71.8
35,1,3.7,,71.6
36,1,3.8,10,71.5
37,1,3.5,,71.1
38,1,3.6,,71.2
39,1,3.6,10,71.8
40,1,3.8,,72.6
41,1,4,,73.4
42,1,3.6,10,73.9
43,1,3.8,,73
44,1,4,,72.3
45,1,3.7,10,71.6
46,1,3.4,,71.1
47,1,3.3,,71.7
48,1,3.6,10,71.8
49,1,3.7,,71.6
50,1,3.9,,72.3
51,1,3.2,10,72.7
52,1,2.2,,71.7
53,1,1.3,,71.5
54,1,0.6,10,72.1
55,1,0.2,,71.2
56,1,0.2,,70.8
57,1,358.2,10,70.6
58,1,356.9,,70
59,1,355.8,,68.8
60,1,355.4,10,68.3
61,1,354.7,,67.7
62,1,353.7,,67.4
63,1,352.3,10,66.8
64,1,351,,66.1
65,1,350,,67
66,1,348.3,10,66.9
67,1,346.3,,66.8
68,1,346,,67.8
69,1,345.3,10,68.8
70,1,344.5,,69.8
71,1,343.9,,69.9
72,1,343.8,10,71
73,1,344,,71.6
74,1,344.6,,72.6
75,1,345,10,72.1
76,1,344.6,,72.4
77,1,344.4,,72.7
78,1,344,10,73.9
79,1,344.4,,72.4
80,1,344.2,,72.3
81,1,344.7,10,72.3
82,1,344.6,,71.9
83,1,344.9,,71
84,1,344.4,10,71.2
85,1,344.5,,71.9
86,1,344.5,,73
87,1,344.7,10,73.2
88,1,345,,73.4
89,1,346.2,,74.2
90,1,346.7,10,73.9
91,1,346.9,,72.5
92,1,347,,72.6
93,1,347.5,10,72.9
94,1,348,,74.7
95,1,348.6,,74.8
96,1,349.2,10,73.8
97,1,349.7,,73
98,1,350.1,,71.5
99,1,350.3,10,70.7
100,1,350.5,,69.8
101,1,350.9,,68.9
102,1,351.1,10,68.3
103,1,351.2,,67.6
104,1,351.3,,66.6
105,1,351.1,10,66.2
106,1,351,,65.7
107,1,350.8,,66.2
108,1,350.7,10,66.3
109,1,351.3,,66.4
110,1,351.2,,66.6
111,1,351.3,10,66.3
112,1,351.4,,64.9
113,1,351.3,,64.1
114,1,351,10,62.3
115,1,351.1,,61.6
116,1,351.3,,59.4
117,1,351.3,10,59.4
118,1,352.2,,59.6
119,1,353.4,,54.8
120,1,354.2,10,53.4
121,1,355.9,,52.7
122,1,357.5,,52
123,1,0,10,51.9
124,1,2.1,,49.7
125,1,5.4,,48.5
126,1,9.8,10,47.5
127,1,13.4,,46.2
128,1,15.6,,43.7
129,1,15.7,10,43.6
130,1,16.4,,42.6
131,1,16.4,,42.1
132,1,16.7,11,41.6
133,1,17.9,,41
134,1,19.8,,39.7
135,1,20,10,38
136,1,18.8,,36.6
137,1,17.6,,33.4
138,1,17.6,10,27.5
139,1,21.7,,22.8
140,1,27.7,,16.7
141,1,35.1,10,12.3
142,1,40.1,,8.6
143,1,44.6,,8.6
144,1,54.1,10,11.3
145,1,64.2,,13.1
146,1,74.4,,14.8
147,1,81.5,10,16.8
148,1,86.2,,20
149,1,88.9,,21.3
150,1,89,10,23.4
151,1,87.4,,25.2
152,1,88.3,,26
153,1,88.3,10,27.2
154,1,88.7,,28.1
155,1,89.3,,28.5
156,1,88.9,10,28
157,1,89.3,,28.2
158,1,89.3,,28.2
159,1,86.9,10,29.5
160,1,85.9,,30
161,1,85.3,,29.7
162,1,84.5,10,29
163,1,86,,27.5
164,1,88.7,,26.1
165,1,89.8,10,25.7
166,1,90.3,,25
167,1,93.1,,25
168,1,94.3,10,25.2
169,1,92.2,,23.6
170,1,89.3,,23.6
171,1,89.4,10,23.6
172,1,89.8,,23.5
173,1,89.3,,22.9
174,1,89.8,10,23.4
175,1,90.4,,24.9
176,1,92.6,,26.7
177,1,92.3,10,29.4
178,1,92.6,,33.3
179,1,90.5,,35.5
